start	end	text
340960	343200	And so that forced me to think about,
343200	345160	well, how does this thing upstairs actually work?
345160	347160	And how can I learn as quickly as possible
347160	349960	to really perform and also have my competitors
349960	352320	do very well in tournaments too?
352320	354040	So yeah, it was less spiritual,
354040	356400	but it certainly was psychological in martial arts,
356400	359520	and that's what got me to UPenn and ultimately into AI.
359520	361000	Yeah, in addition to spirituality,
361000	364160	it's also that you had choked people unconscious,
364160	366880	but I assume that you were also choked unconscious yourself.
366880	370240	You were placed on the other side of the equation.
370240	371680	Sure, sure did.
371680	373160	I mean, everybody weighs more than me.
373160	374200	I'm a pretty small fella,
374200	375800	so I did a lot of competitions
375800	377280	against very, very big opponents.
377280	378440	In fact, if you go on Google,
378440	381000	you type in Dan Fijella versus the Giant,
381000	383320	you'll see me in a jujitsu match
383320	386600	against a guy that weighs 80 pounds, 100 pounds more than me
386600	387920	who's actually a UFC fighter.
387920	388760	His name is Pat Walsh.
388760	391640	So this guy fought in the cage with other 220 pound men.
391640	393800	I walk around at about a buck 25.
393800	398280	So definitely, I didn't beat all those guys.
398280	399120	That was a good match.
399120	400120	I'll fortunately beat that guy.
400960	404920	But yeah, I certainly had my ears boxed pretty good.
404920	408080	You can see my cauliflower ear is pretty rough.
408080	410480	And I've certainly, you know,
410480	412400	I'm gonna have knee problems when I'm older.
412400	413240	That's just a fact.
413240	414680	I'm gonna have shoulder problems when I'm older.
414680	416040	That's just a fact.
416040	418160	But right now, it doesn't keep me from doing market research
418160	419520	and what I love, so, you know.
419520	422640	Yeah, it just seems that that experience of humility
422640	424560	and empathy that you create
424560	427000	when you're on the other side of something like that
427000	429280	is also helpful when you're working on,
429320	431160	let's say, artificial intelligence,
431160	434880	which is a big difference from what is being written down
434880	436640	on paper and in academia
436640	439600	than what it's being implemented within the society,
439600	442040	especially the society right now today
442040	443760	that a lot of people are freaked out
443760	446360	by just the name artificial intelligence
446360	449440	and in a lot of aspect for right reasons, right?
449440	451960	So I'm trying to get into,
451960	454240	and we've talked about this a lot in this podcast,
454240	456240	that what you put on the paper,
456240	459200	it might seem awesome and sounds great,
460120	462840	but there's a big difference between what sounds good
462840	464400	and sounds sensible on the paper
464400	467200	than when it's being implemented within the society
467200	469640	when a lot of people have a problem
469640	472080	even accepting the existence of such a thing
472080	474240	that is going to compete with human intelligence
474240	476800	and human, basically the concept of humanity.
478080	480360	Yeah, I think, you know, in the near term,
480360	482480	there's the job and economic considerations
482480	484760	that are real.
484760	486960	I don't think we're gonna see the wave of automation
487000	489280	across the country in the very, very near term,
489280	491480	but I do foresee in the next 10 years,
491480	495680	we did a very substantial poll in 2015 of AI researchers
495680	497960	and by a wide margin,
497960	501480	the most significant and consistent AI risk
501480	504280	in the next 20 years, this is five years ago,
504280	506120	was the economic and job impact.
506120	509000	So I think that seems like a reasonable fear,
509000	510840	but I think to your point,
510840	512800	there is the actual species dominant stuff
512800	514640	if we look 50 years out, 100 years out
514640	516840	that I think is considerable as well.
517680	518520	So yeah, you're right.
518520	520400	I mean, AI in theory and AI in practice,
520400	522680	it's a lot less predictable when it's off the paper.
522680	526360	Social adoption is a big part of any kind of technology
526360	527880	that would progress, right?
527880	532880	So you can recommend certain things to a business
533200	537000	and it might seem all good, a certain kind of a technology,
537000	540000	but when the society is rejecting that kind of technology,
540000	542880	I bring up Google Glass, for example, as an example,
542880	544440	that it was a very practical thing,
544440	548640	well-designed and great, but people didn't like it.
548640	549960	Some because they couldn't get it,
549960	552040	some because they thought, oh, you're taking this,
552040	554000	it jeopardizes my privacy
554000	555120	and you think you're better than me
555120	556720	and all those things, you know?
557920	560520	Yeah, we did a very early interview in 2012
560520	563680	with the head of Engadget at the time.
563680	566120	Engadget is a big consumer tech blog
566120	567680	who talked about his experience
567680	569440	of wearing Google Glass in the subway
569440	571200	and walking his dog and things like that
571200	574040	and just how it wasn't really gonna fit
574040	576480	into the normal mesh of society and the public.
576480	578400	There was in San Francisco?
578400	581320	I forget where Tim is based, Tim Stevens.
581320	583080	This is a great many years ago,
583080	584800	but I suspect it was the Bay Area.
584800	586840	Yeah, because people were getting attacked.
586840	589560	You know, there were videos taken by those,
589560	590720	you know, people who were wearing it
590720	592200	in bars and restaurants
592200	593360	and people were getting attacked
593360	594680	just because of wearing the glass.
594680	597400	Part of it was the argument for privacy,
597400	598840	but the other part was that, hey,
598840	601200	this is not even something we can't buy from the store.
601200	603320	This has to be given to you.
603320	606000	Yeah, so it was like lording over people,
606000	607720	kind of like, ah, I've been granted
607720	611080	this recording intelligence layer
611080	611920	and you don't have it.
611920	614240	There's a certain kind of elitism
614240	616760	that it seems like we can't get away with that.
616760	621080	You know, genetic engineering is another field
621080	622840	that will create this kind of elitism
622840	625160	that, hey, if you can't afford it,
625160	628320	not only financially, but also,
628320	630120	you know, there's a big difference between China,
630120	631360	let's say, and the United States,
631360	632840	and I wanna talk to you about that too,
632840	635080	because you mentioned you're talking to
635080	637520	and you're advising private companies,
637520	639760	but I also see on your website that you've spoken to,
639760	642960	for example, United Nations, Harvard University.
642960	646320	What was, oh, you talked to United Nations,
646320	649000	as I see, about deepfakes, is that right?
649000	652400	Yeah, so we actually, United Nations,
652400	654640	World Bank, Interpol, the OECD,
654640	655680	I mean, we work with-
655680	657680	So beyond the private sector also.
657680	659200	Yeah, these are the most substantial
659200	660960	intergovernmental organizations in the world
661160	662840	who are, luckily, at this point,
662840	665800	at least allocating a certain amount of attention
665800	667320	to artificial intelligence,
667320	668520	and there are certainly initiatives
668520	669960	that I really believe in there.
669960	673040	And not all of those organizations
673040	674880	are our clients, formally, some are.
676240	678480	We've done substantial projects with the World Bank,
678480	680640	for example, but some are just speaking engagements,
680640	682800	because I happen to think it's a very valuable topic
682800	684600	that should be at UN headquarters,
684600	686080	and we were called upon to talk about it.
686080	688840	So deepfakes is a good example of that,
688840	690920	where I'm pretty close with the folks
691920	693720	that run the artificial intelligence and robotics wing
693720	695080	of what is called Unicrit,
695080	697960	which is the crime and justice wing of the United Nations.
697960	700200	I really respect those guys, I think they do a great job,
700200	702840	and they have a thorough understanding of the space.
702840	705800	Not everybody in the intergovernmental domain does.
705800	708880	And they had called us in to essentially create a deepfake
708880	711480	of the head of Unicrit, so a woman by the name of Bettina,
711480	714600	who was the director of that wing of the United Nations.
714600	716080	So we took a video of her,
716080	718480	and then we made her say a bunch of things she never said,
718480	721680	and then also extrapolated that into
721680	724120	how almost anything can be programmatically generated,
724120	725440	and how much better and better
725440	727640	that programmatic generation is becoming,
727640	729560	and what some of the considerations might be.
729560	731880	My personal focus is on the long-term of that.
731880	734200	Yes, political influence, I think, is something.
734200	735520	Media and truth is something.
735520	738800	I think the actual leap in the human experience,
738800	739880	when we can push a button
739880	742680	and have what we wish before our eyes,
742680	744640	the conjuring of what we wish before our eyes,
744640	746880	I think is a much grander transition
746920	749880	than is spoken about in the purely political space.
749880	753560	So I tried to create that stretch for UN leadership there.
753560	756920	So democratization of information is the big picture,
756920	757760	is what you're talking about,
757760	759320	because it's not only deepfakes,
759320	761600	but also, let's say, 3D printing,
761600	763840	that now we have to deal with the very reality
763840	765760	that within a couple of years,
765760	769280	some parts of a gun can be very viably printed
769280	771480	inside of someone's bedroom,
771480	774120	and there's nothing anybody can do about it.
774120	776400	Yeah, my personal expertise
776400	777880	is not in 3D printing.
777880	779760	We've done a couple bits of coverage
779760	782560	on the intersection of what is called
782560	783960	additive manufacturing,
783960	786840	sort of the broad umbrella of 3D printing, and AI,
786840	788520	so where those two mesh.
788520	791360	But making projections around that tech,
791360	792920	I have much less confidence than I do
792920	794920	in, let's say, artificial intelligence
794920	796600	in almost any industry.
796600	798120	But yeah, to your point,
798120	799520	that's part of the transition.
799520	802440	I think what I'm articulating explicitly here
802480	806960	is a broader dynamic of a kind of going in,
806960	810840	so the majority, the bulk of our experience
810840	812600	transitions into virtual spaces.
812600	814880	So you and I are kind of doing that right now.
815920	817800	I do that on my phone a good deal.
817800	820120	We're all on a screen a really good percentage of the time,
820120	822320	and if you look at human life
822320	825360	and human life on screen time as a graph here,
825360	829400	I mean, you don't have to be a rocket scientist.
829440	832440	And I think that when we can call forth
832440	834120	the kinds of experiences we want,
834120	836520	whether it's a relaxing background to do our work,
836520	840760	whether it's a movie that's created just for us, right?
840760	842280	I wanna learn about the French Revolution,
842280	845080	but I wanna learn about it through the eyes of St. Just,
845080	846720	and I don't really care that much
846720	848840	about the post-revolutionary Bonaparte stuff.
848840	851680	I just wanna go right up until St. Just death, that's it,
851680	852760	and I wanna look through his eyes.
852760	854680	When a movie can be played
854680	856440	per my preferences in creation
856440	857800	and based on my past learning
858080	859760	based on my current responsiveness, right?
859760	861560	Am I attentive or is it boring me
861560	864240	being able to have that generated in real time?
864240	866040	I think that might be 15 years off,
866040	867920	but I think that we get to a point
867920	871280	where the compellingness of virtual ecosystems
871280	875120	will be so amazing in terms of fulfilling drives
875120	877880	for curiosity, creativity, for love,
877880	880640	eventually with haptics that might involve sex.
880640	882240	Lord knows how that's gonna evolve.
882240	883680	That's not exactly my focus area,
883680	885920	but I do think there's gonna be transitions there too,
885920	888480	and I think that as the body becomes a husk
888480	891880	and as most of what we wish in its highest form,
891880	893720	right now, if you ask me, Dan,
893720	895400	what is the most refreshing, rewarding,
895400	896640	lovely thing that you could do,
896640	899360	I would tell you it is walking in nature,
899360	902720	reading actual papyrus in a really, really good book,
904720	906080	like not Kindle, I mean like paper,
906080	908760	I don't have ancient texts in my house,
908760	912880	but I'm not, even if I was-
912920	914960	I was gonna ask, you can't read papyrus?
915840	920080	Even if I was exorbitantly wealthy,
920080	923760	I would not become such a profligate
923760	925880	in my collecting of texts like that,
925880	927840	but I like me a good old book,
927840	931520	and I like to breathe in the pine,
931520	935200	and I like to see the sunset and those sorts of things,
935200	939560	but I am not above the idea that within 15 years,
939560	942240	a programmatically generated permutation of that,
942240	943760	even the wind through my hair
943760	945600	in a programmatically generated sense
945600	948960	might be astronomically more refreshing,
948960	950520	because it would be hyper-calibrated
950520	953000	to all the very best experiences of that in the past,
953000	955840	and that is in fact the transition I'm talking about.
955840	960200	I wrote an article called Lotus Eaters and World Eaters,
960200	961960	so Lotus Eaters and World Eaters.
961960	964480	If Googled, that article would come up,
964480	966080	and this is about the bigger transition.
966080	968920	So for me, I think democratization of information
968920	970400	is a very big part of it.
970400	973040	I think that going in is the dynamic
973040	975160	that I consider to be astronomically disruptive,
975160	976920	and I think essentially a borderline
976920	978360	no one is talking about.
978360	979200	That's very interesting,
979200	981760	because recently we've been talking about
981760	984800	when people are talking about AI, artificial intelligence,
984800	987120	and I like personally to think of that A
987120	988960	as augmented intelligence as well,
988960	993840	that you don't really have to reverse engineer
993840	996520	and rebuild the entire brain or an intelligence.
996520	998600	You can use it as a mesh net, basically,
998600	1000600	or exoskeleton, right?
1000600	1003640	But the argument that I'm hearing is that AI
1003640	1007520	is focused on the thinking mind, on the analytical mind,
1007520	1009880	on the left brain, basically.
1009880	1013200	The right brain and instincts
1013200	1016480	and things we cannot really describe by words,
1016480	1018360	that is something that we can't even begin
1018360	1021480	to understand ourselves, let alone trying to replicate
1021480	1024680	that with any kind of a machine intelligence.
1024680	1027880	But that is a huge part of what you're talking about,
1027880	1032280	to merging, basically, within blurring this line
1032280	1034000	of what is real and what is not real
1034000	1036600	further and further in the coming years.
1036600	1041600	Yeah, and I would say, so I may not describe it similarly.
1042640	1044400	I think it's an interesting distinction,
1044400	1045400	the left and right brain.
1045400	1049840	I would say that certainly at an emotive level,
1049840	1051760	I don't think we're able to replicate,
1051760	1052720	to the best of our knowledge,
1052720	1054920	we're not able to replicate sentience in AI,
1054920	1057200	although we did do a pretty extensive poll
1057200	1058920	of artificial intelligence researchers
1058920	1060680	around when sentience might be possible,
1060680	1062040	something like 2060.
1062040	1063160	Who knows if they're right, right?
1063160	1064840	Nobody knows if anybody's right.
1064840	1066440	But I'm curious about the topic.
1066440	1068640	Consciousness, I think, is a morally worthy thing.
1068640	1070240	It might be the morally worthy thing,
1070240	1072880	but that's its own conversational threat.
1072880	1074600	But right and left brain, I think,
1074600	1076640	it's tough to say where AI actually sits,
1076640	1079640	because, for example, if we look at
1079640	1081320	the programmatically generated stuff,
1081320	1083680	in the future, let's say 10 years from now,
1083680	1087440	if you are a designer of logos, like company logos,
1087440	1090160	you will not just take 15 hours
1090160	1091880	to craft one really good logo
1091880	1093200	and then take another 15 hours
1093200	1094920	to craft another really good logo.
1094920	1099920	You may begin with simply a verbalized
1100800	1104880	or set of checkboxes, set of configurable features,
1104880	1107600	like what are the values we want to convey,
1107600	1109520	what are the values we stand for as a company,
1109520	1110960	what kind of color palettes are we thinking
1110960	1112080	might be good, whatever,
1112080	1116160	and have a programmatically generated plethora of logos
1116160	1117840	that are already stacked and ranked
1117840	1119600	based on what we would presume
1119600	1121720	humans would respond to most favorably
1121720	1123520	based on the values that we had set before.
1123520	1125400	Now, we would need a really big data set
1125400	1127360	of people looking at different logos
1127360	1128560	and correlating them with values,
1128560	1129720	and we're not there yet.
1129720	1132960	But if nothing else, we could start with a plethora,
1132960	1135240	and we could take individual permutations,
1135240	1137240	determine some tweaks, determine some adjustments,
1137240	1140000	and create another plethora off of that one permutation,
1140040	1142720	and in so doing, generate just generally
1142720	1145560	better and more ideas, better and more ideas.
1145560	1147800	Same with architecture, same with fashion,
1147800	1150320	same with textiles, same with name your damn
1150320	1152320	creative domain, creating beats.
1152320	1154120	You want to create music for the elevator,
1154120	1155560	you want to create rap music.
1155560	1157200	I mean, being able to just have
1157200	1158600	programmatically generated beats
1158600	1159760	that we know are going to hit,
1159760	1160960	that we know are going to respond,
1160960	1162240	that people are going to respond well to.
1162240	1164000	We might train it off of Spotify data
1164000	1166000	in terms of what's most popular right now.
1166000	1168760	We might train it off of whatever we want to do.
1168760	1171400	This sort of extension of what you might refer to
1171400	1174120	as the left brain will eventually become the norm
1174120	1175480	in a great many creative fields.
1175480	1176920	Now, is that going to be 10 years?
1176920	1177840	Is that going to be 15 years?
1177840	1180080	I can't exactly tell you, but I will say
1180080	1181960	there was a time where as a graphic designer,
1181960	1183600	you didn't need to know how to use a computer.
1183600	1186680	And let me tell you, my good man, times have changed.
1186680	1188080	And let me tell you, my good man,
1188080	1190480	in 15 years, times will change again.
1190480	1193560	And this kind of technology will be part of that change.
1194920	1197360	I think a good point of distinction,
1197360	1200000	you mentioned with music, for example.
1200920	1203440	What constitutes better
1203440	1206520	is the context that already exists, right?
1206520	1209760	That is determined based on us, humans,
1209760	1212880	who are, we are very limited in our experience.
1212880	1214320	It's linear.
1214320	1217840	And the argument can be made that for AI
1217840	1220600	to reaches its true potential,
1220600	1223680	it should not rely on humanity whatsoever.
1223680	1228280	So after that point, the argument would become,
1228280	1231080	would the AI, artificial intelligence,
1231080	1235480	be able to create a beat or a piece of music
1235480	1238840	that has absolutely no root within the context
1238840	1241160	that is created by human civilization
1241160	1242920	and is something that is introducing
1242920	1245280	a new context altogether?
1245280	1246440	Does it make sense?
1246440	1248000	Yes, it does.
1248000	1249760	And I don't know if you wanted to go
1249760	1251040	this far down the rabbit hole,
1251040	1253720	but there isn't a depth that you could go
1253720	1254720	that I will not follow you.
1254720	1255960	Oh, amazing.
1255960	1257800	I'm mostly interested in rabbit holes
1257800	1260080	because academic sides, I'm like,
1260080	1262000	everything is written on Google.
1262000	1264560	There are so many people who can nail those things better,
1264560	1267280	but I think it's very important to be imaginative
1267280	1269280	and consider many different options
1269280	1271720	that we have to deal with in the coming years.
1271720	1273960	I think these are interesting topics.
1273960	1275800	Again, they aren't things that I'd be called upon
1275800	1278160	to speak about at Interpol or at Citibank,
1278920	1281200	but they are the long ball consequences
1281200	1283320	that I think, as you pointed out,
1283320	1285200	it's important to kind of splay those open
1285200	1286320	and see what does this mean?
1286320	1287320	Where does this go?
1287320	1288800	To your point about music,
1288800	1290600	I think the question here would be
1290600	1292440	what would be the purpose of music?
1292440	1294400	If the purpose is enjoyment
1294400	1296440	and we are the only sentient things that enjoys,
1296440	1300040	then I suspect you're right.
1300040	1302240	We may be able to start from scratch
1302240	1305280	and create beats and permutations of sound
1305280	1309320	that really don't resemble any known musical genre
1309320	1312400	that might be extremely appealing to some people.
1312400	1314720	Very rare that music would be appealing to everybody,
1314720	1317080	but that might be doable.
1317080	1320640	Now, if AI itself could become sentient in some sense,
1320640	1322200	maybe it would create,
1322200	1324360	if artificial general intelligence
1324360	1326520	were to create art for itself, two things.
1326520	1329520	A, it's extremely unlikely we would be able to understand it,
1329520	1331920	and B, it's extremely unlikely it would have a form
1331920	1332880	that we now recognize.
1332880	1334600	It's not gonna be carving marble.
1334600	1336560	It's not gonna be fricking oil paints.
1336560	1339200	It's gonna be something astronomically more complicated,
1339200	1340080	and from the viewpoint
1340080	1342560	of something astronomically more intelligent,
1342560	1344560	it'll be astronomically more beautiful.
1344560	1346160	The language of such an entity,
1346160	1347160	we might think about it,
1347160	1349000	like you and I have an alphabet.
1349000	1351000	We're speaking English right now.
1351000	1353000	You may speak other languages, I don't.
1353000	1354960	I pretend to have a fistful of French words,
1354960	1357120	but I go no farther.
1357120	1359160	I'm an uncultured American.
1360400	1362320	History, I'm pretty strong, but languages.
1363160	1366240	Let's presume we're talking about the English alphabet.
1366240	1368920	We've got a couple dozen letters to work with here,
1370040	1373400	and we can only talk at this current bandwidth.
1373400	1376840	An AGI might have a number of symbols
1376840	1378040	that it might communicate with,
1378040	1379960	either itself or other AGI's.
1379960	1384200	We might imagine a cube of a million pixels this way,
1384200	1385360	and a million pixels this way,
1385360	1387640	and a million pixels this way,
1387640	1389240	and each of those pixels can have
1389240	1391560	one of two trillion different permutations
1391560	1393480	of what we want to call it,
1393480	1395520	like color number, what have you,
1395520	1398640	and that any combination of all of that
1398640	1400320	pushed through is like a letter.
1401400	1405280	And so we couldn't possibly imagine
1405280	1407680	the full extent of what expression would be
1407680	1409120	for something beyond us,
1409120	1412520	no better than a caterpillar could imagine our expression,
1412520	1414680	could imagine Shakespeare's sonnets,
1414680	1418440	could imagine great architecture,
1418440	1420400	Corinthian columns.
1420400	1422160	Caterpillars ain't gonna cut that mustard,
1422160	1423400	and we ain't gonna cut the mustard
1423400	1425240	of what's beyond us either.
1425240	1428600	Yeah, we are creating a new and different kind of a species
1428600	1431200	than humanity, and I think this is very important
1431200	1434000	for people to understand that this is not a phase
1434000	1436960	or a trend that's just gonna go away,
1436960	1438960	and in 10 years, people will be in charge
1438960	1440240	of everything again.
1440240	1442760	Like, it's just not gonna happen.
1442760	1444200	Yeah, I think a lot of people do operate
1444200	1446200	under that assumption, though.
1446200	1449600	I think it is really seen as a very short-term transition.
1449640	1451840	Is it also shared within governments and UN
1451840	1453880	and those places that you talk at?
1453880	1456120	Yeah, I mean, in the broad sweep,
1456120	1459640	so my unabashed long-term objective here
1459640	1461680	is to bring what I refer to as
1461680	1464480	the trajectory of intelligence conversation
1464480	1468680	into these organizations which I have a relationship with.
1468680	1470680	However, I'm not here to impose that
1470680	1473080	when it's not a time that they're interested about it, right?
1473080	1474520	I have certain people within these orgs
1474520	1476880	that I can talk about all manner of topics,
1477680	1480160	but for many, the reason I'm called on
1480160	1483480	is because we study what's possible and what's working,
1483480	1485120	so they're gonna have an academic,
1485120	1487760	they might have an expert in computer vision,
1487760	1489960	but they need somebody who's gonna say,
1489960	1491640	well, here's where it's impacting this industry,
1491640	1493240	here's where it's impacting the industry,
1493240	1494560	here's what makes it hard to adopt,
1494560	1496840	here's what makes it easy to adopt in defense,
1496840	1498880	here's what, they need a reality check
1498880	1500320	on where it's impacting the world,
1500320	1502960	and that's why I step into the World Bank
1502960	1504880	to enter poll, et cetera.
1504880	1506720	So I'm not gonna force feed them that stuff,
1506720	1508120	but it is my unabashed goal
1508120	1510000	to eventually be able to introduce these themes,
1510000	1511160	and we have a new series,
1511160	1513480	we have a podcast called the AI in Business podcast,
1513480	1515920	and we have a Saturday series called AI Futures,
1515920	1517240	where we're kind of stretching this,
1517240	1519560	we're taking people from reputable organizations,
1519560	1520600	like let's say Berkeley,
1520600	1523440	Stuart Russell was our first guest on this podcast,
1523440	1527840	the OECD, folks from the Future of Humanity Institute
1527840	1530480	at Oxford, and we're having them kind of stretch
1530480	1531600	the credible viewpoints
1531600	1533760	into where is this ultimately taking us?
1533760	1535920	Because for me, I think we do need to consider those things,
1536240	1539040	to your point, right now in government and in business,
1539040	1541800	it is absolutely not on the radar.
1541800	1543640	It's not even fiction,
1543640	1546720	it's literally not on the table in any way.
1546720	1548880	It's not even digestible, it's almost invisible,
1548880	1550280	even if it were to be articulated,
1550280	1553760	it would not even land on the table, it doesn't exist.
1553760	1555280	And it's shared in politics.
1555280	1557000	I mean, you see how important AI is,
1557000	1559000	and nobody's really talking about it.
1559000	1561000	Nobody's talking about the long-term, no.
1561000	1564800	Even short-term, you see like neither Trump or Biden
1564840	1566160	are really talking about AI,
1566160	1568480	but AI is going to have huge impacts
1568480	1571240	on every single human being's lives on this planet.
1571240	1574080	And I think, so what is it to be a politician?
1575120	1577400	Just winning a popularity contest.
1579240	1581120	In Emerson's words,
1581120	1583360	to eat dust before the men
1583360	1585080	who actually stand behind the throne,
1585080	1586680	something akin to this.
1586680	1589680	Now, I don't know, I'm not disparaging politicians,
1589680	1590960	not even in the slightest.
1590960	1593080	In fact, I do respect the profession
1593080	1596680	despite the gritty realities they're in.
1599200	1600800	But to be a politician, like you said,
1600800	1602000	yes, popularity contest.
1602000	1604040	So why aren't they talking about AI?
1604040	1607960	It just doesn't matter enough to the constituents, right?
1607960	1611320	Why are they talking about name your topic, sir?
1611320	1612400	Name your topic.
1612400	1614240	I mean, the most arbitrary things
1614240	1616320	become giant friction points,
1616320	1618560	and then they get in all the speeches.
1618560	1620560	Is it because of their inherent meaning
1620560	1622520	and some platonic reality?
